City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Faanui,100,PF,1570413991,85,-16.48,-151.75,298.22,8.09
Vaini,40,IN,1570414033,100,15.34,74.49,295.15,0.661
Beyneu,1,KZ,1570414033,47,45.32,55.19,286.46,5.7
Saint-Philippe,90,CA,1570414033,87,45.36,-73.48,289.82,7.2
Wanning,75,AT,1570414034,87,48.64,13.53,280.93,4.1
Xuddur,71,SO,1570414034,83,4.12,43.89,295.71,4.7
Rikitea,100,PF,1570414074,86,-23.12,-134.97,296.34,5.06
Hermanus,32,ZA,1570414074,93,-34.42,19.24,287.59,5.62
East London,99,ZA,1570414074,92,-33.02,27.91,289.65,1.9
Qaanaaq,100,GL,1570414075,77,77.48,-69.36,266.41,7.67
Tasiilaq,79,GL,1570414075,93,65.61,-37.64,278.15,1.3
Luderitz,0,NA,1570414075,71,-26.65,15.16,287.15,4.1
Sokolo,100,ML,1570414075,56,14.74,-6.12,301.07,2.66
Rurrenabaque,100,BO,1570414075,99,-14.44,-67.53,287.75,0.41
Grand-Lahou,66,CI,1570414076,98,5.24,-5,295.2,1.14
Sola,43,TZ,1570414076,65,-3.17,33.8,293.07,4.9
Ribeira Grande,69,PT,1570414076,94,38.52,-28.7,293.51,9.85
Cheyenne,1,US,1570413793,30,41.14,-104.82,283.15,2.1
Cap Malheureux,40,MU,1570414076,83,-19.98,57.61,296.15,7.7
Albany,90,US,1570413920,82,42.65,-73.75,292.15,4.6
Ilulissat,100,GL,1570414077,86,69.22,-51.1,274.15,6.7
Henties Bay,1,NA,1570414077,91,-22.12,14.28,282.48,1.458
Jinxiang,79,CN,1570414077,73,35.07,116.31,288.71,2.15
Mataura,90,NZ,1570414077,49,-46.19,168.86,290.37,3.58
Nikolskoye,0,RU,1570414077,86,59.7,30.79,275.37,2
Avarua,100,CK,1570414078,53,-21.21,-159.78,297.15,4.6
Khatanga,0,RU,1570414078,87,71.98,102.47,268.11,4.04
Mar del Plata,80,AR,1570414078,66,-46.43,-67.52,281.95,11.19
Jamestown,100,AU,1570414079,69,-33.21,138.6,287.45,5.58
Adrar,0,DZ,1570414079,17,27.87,-0.29,298.15,7.7
Mahebourg,40,MU,1570414079,83,-20.41,57.7,296.15,7.7
Miri,96,NG,1570414079,89,10.31,9.75,294.52,1.637
Bluff,0,AU,1570414079,17,-23.58,149.07,307.69,2.77
Busselton,3,AU,1570414080,43,-33.64,115.35,292.04,3.65
Labuhan,100,ID,1570414080,49,-2.54,115.51,305.93,0.978
Bredasdorp,0,ZA,1570414080,87,-34.53,20.04,287.04,2.34
Margate,75,AU,1570414080,44,-43.03,147.26,287.15,4.6
Tiksi,91,RU,1570414029,92,71.64,128.87,268.94,2.37
Pevek,100,RU,1570414080,78,69.7,170.27,271.42,6.09
Kapaa,90,US,1570414081,74,22.08,-159.32,302.15,3.6
Cherskiy,15,RU,1570414081,79,68.75,161.3,266.23,1.57
Victoria,75,BN,1570414081,83,5.28,115.24,302.15,2.1
Sydney,75,AU,1570414068,64,-33.85,151.22,299.26,6.7
Vallenar,6,CL,1570414081,48,-28.58,-70.76,286.55,1.78
Ushuaia,65,AR,1570414082,90,-54.81,-68.31,270.93,3.027
Kurilsk,67,RU,1570414082,70,45.23,147.88,285.84,8.01
Clyde River,40,CA,1570414082,85,70.47,-68.59,267.15,1.5
Belyy Yar,90,RU,1570414082,100,53.6,91.39,276.15,1.322
Cape Town,75,ZA,1570413971,87,-33.93,18.42,289.26,3.1
Russell,1,US,1570414011,58,38.9,-98.86,287.15,1.5
Gravdal,0,NO,1570414083,86,59.79,5.78,277.59,4.1
Pontal do Parana,75,BR,1570414083,93,-25.67,-48.51,290.37,1
Kaitangata,98,NZ,1570414083,65,-46.28,169.85,285.37,1.79
San Patricio,36,PY,1570414083,96,-26.98,-56.83,288.12,2.056
Barrow,85,AR,1570414083,41,-38.31,-60.23,289.05,9.243
Saint-Pierre,75,FR,1570414084,100,48.95,4.24,285.15,5.7
Lebu,10,ET,1570414084,83,8.96,38.73,283.13,2.04
Sechura,54,PE,1570414084,87,-5.56,-80.82,289.78,6.38
Yellowknife,90,CA,1570414084,93,62.45,-114.38,277.15,6.2
Qingdao,90,CN,1570414084,72,36.09,120.35,288.15,3
Hilo,90,US,1570414085,58,19.71,-155.08,302.15,3.1
Puerto Ayora,8,EC,1570414085,94,-0.74,-90.35,292.04,4.63
Punta Arenas,40,CL,1570414085,60,-53.16,-70.91,277.15,6.2
Hualmay,16,PE,1570414085,92,-11.1,-77.61,288.9,6.68
Mendi,100,ET,1570414085,96,9.8,35.1,289.12,1.22
Kodiak,1,US,1570414086,62,39.95,-94.76,286.15,2.1
Cabo San Lucas,5,MX,1570414086,58,22.89,-109.91,302.59,5.1
Fortuna,1,US,1570414086,71,40.6,-124.16,289.26,3.1
Mukhen,0,RU,1570414087,46,48.19,136.14,286.95,5.099
Bud,0,NO,1570414087,45,62.91,6.91,276.15,3.6
Hithadhoo,81,MV,1570414087,77,-0.6,73.08,300.74,6.27
Bazarnyye Mataki,100,RU,1570414087,43,54.9,49.93,283.16,7.38
Alice Springs,0,AU,1570414088,14,-23.7,133.88,303.15,3.6
Nyagan,100,RU,1570414088,80,62.14,65.43,276.5,1.31
Fairbanks,90,US,1570414088,86,64.84,-147.72,274.26,4.6
Kungurtug,24,RU,1570414088,62,50.6,97.53,279.83,0.93
Tuktoyaktuk,90,CA,1570414088,93,69.44,-133.03,273.15,8.2
Chuy,0,UY,1570414088,90,-33.69,-53.46,285.9,3.71
Fayaoue,0,NC,1570414089,75,-20.65,166.53,295.83,5.71
Thompson,75,CA,1570414089,86,55.74,-97.86,277.15,3.1
Bahia Blanca,100,AR,1570414089,35,-38.72,-62.27,291.12,5.012
Lompoc,1,US,1570414089,33,34.64,-120.46,298.15,2.1
Port Alfred,100,ZA,1570414090,92,-33.59,26.89,290.93,0.89
Pierre,1,US,1570414090,53,44.37,-100.35,284.26,4.1
Monrovia,75,LR,1570414090,94,6.33,-10.8,298.15,2.83
Lorengau,28,PG,1570414090,77,-2.02,147.27,301.93,3.68
Sarkand,0,KZ,1570414091,29,45.41,79.91,292.54,0.521
Provideniya,90,RU,1570414091,80,64.42,-173.23,276.15,8
Mweka,100,CD,1570414091,98,-4.85,21.56,293.89,0.91
Alofi,88,NU,1570414091,65,-19.06,-169.92,298.15,7.7
Klaksvik,100,FO,1570414092,87,62.23,-6.59,283.15,16.5
Avenal,75,US,1570414092,35,36,-120.13,302.15,3.1
Nastola,90,FI,1570414092,100,60.95,25.93,275.15,0.5
Nantucket,90,US,1570414092,82,41.28,-70.1,292.59,6.7
Kharan,0,PK,1570414093,51,28.58,65.42,297.23,2.46
Ostrovnoy,100,RU,1570414093,96,68.05,39.51,273.16,4.76
Koslan,98,RU,1570414093,93,63.46,48.9,272.82,2.59
Ambilobe,0,MG,1570414093,70,-13.19,49.05,296.52,4.87
Vagur,92,FO,1570414093,81,61.47,-6.81,283.38,17.942
Khuzhir,100,RU,1570414094,81,53.19,107.35,271.77,3.67
Dunedin,70,NZ,1570414094,72,-45.87,170.5,285.37,6.26
Lubumbashi,26,CD,1570414095,57,-11.66,27.48,292.18,2.75
Constitucion,40,MX,1570413852,37,23.99,-104.67,293.15,3.1
Imeni Poliny Osipenko,100,RU,1570414095,55,52.42,136.49,285.49,6.763
Georgetown,20,GY,1570414095,78,6.8,-58.16,301.15,2.1
Santa Cruz,24,BR,1570414095,89,-6.22,-36.02,293.26,4.88
Sabang,16,PH,1570414096,86,13.8,121.11,300.93,1.79
Upernavik,0,GL,1570414096,76,72.79,-56.15,271.16,2.02
Castro,75,CL,1570414096,87,-42.48,-73.76,280.15,2.1
Shenjiamen,39,CN,1570414096,71,29.96,122.3,296.04,1.84
Longyearbyen,75,NO,1570414097,90,78.22,15.63,273.15,6.7
Xuanhua,0,CN,1570414097,25,40.61,115.04,288.78,5.8
Chapais,90,CA,1570414097,87,49.78,-74.86,284.15,8.2
Esperance,90,AU,1570414097,100,-33.86,121.89,287.15,4.1
Lufilufi,100,WS,1570414097,82,-13.87,-171.6,299.39,10.119
Carnarvon,3,ZA,1570414098,49,-30.97,22.13,283.17,7.13
Ambulu,100,ID,1570414098,87,-8.35,113.61,297.6,5.61
Zheshart,99,RU,1570414098,96,62.09,49.59,273.43,4.67
Makat,100,KZ,1570414098,33,47.65,53.35,285.41,6.012
Butaritari,0,KI,1570414098,63,3.07,172.79,302.4,1.21
Camacha,75,PT,1570414099,73,33.08,-16.33,296.15,6.2
Iesolo,75,IT,1570414099,71,45.53,12.64,287.15,4.6
Pocone,26,BR,1570414099,75,-16.26,-56.62,293.65,2.734
Atuona,0,PF,1570414099,68,-9.8,-139.03,300,6.14
Hobart,75,AU,1570413875,44,-42.88,147.33,287.15,4.6
Kantang,20,TH,1570414100,94,7.42,99.52,298.15,2.1
Hofn,100,IS,1570414100,99,64.25,-15.21,276.48,5.96
Lagoa,1,PT,1570414100,68,37.14,-8.45,293.15,4.435
High Prairie,44,CA,1570414101,50,55.43,-116.48,281.43,4.79
Torbay,20,CA,1570413854,86,47.66,-52.73,280.37,3.6
Rovnoye,100,RU,1570414101,72,50.78,46.06,286.31,1.87
Coihaique,90,CL,1570413925,87,-45.58,-72.07,279.15,1.5
Ponta do Sol,95,BR,1570414101,62,-20.63,-46,295.25,2.18
Shelburne,1,CA,1570414101,76,44.08,-80.2,285.93,3.6
Feijo,40,EC,1570414102,33,-3.63,-79.92,305.15,2.6
Rio Claro,77,BR,1570414102,87,-22.41,-47.56,291.25,6.12
Bara,77,NG,1570414102,92,10.41,10.6,294.8,1.61
Bethel,90,US,1570414102,65,60.79,-161.76,280.15,4.1
Cotonou,40,BJ,1570414102,88,6.37,2.43,299.15,3.1
Sisimiut,15,GL,1570414103,72,66.94,-53.67,274.27,3.49
Calderitas,75,MX,1570414103,88,18.55,-88.26,299.15,1.88
Swanton,1,US,1570414103,63,41.59,-83.89,290.15,1.83
Burley,1,US,1570414103,37,42.54,-113.79,285.15,2.6
Santiago del Estero,0,AR,1570414103,51,-27.8,-64.26,290.36,3.64
Chokurdakh,100,RU,1570414104,86,70.62,147.9,267.09,1.765
Aktau,0,KZ,1570414104,21,43.65,51.16,289.15,3
Yurty,97,RU,1570414104,82,56.05,97.64,283.03,4.617
Gannan,100,CN,1570414104,54,47.92,123.49,284.56,2.826
New Norfolk,75,AU,1570414105,44,-42.78,147.06,287.15,4.6
Saryg-Sep,0,RU,1570414105,56,51.49,95.55,282.17,1.03
Kavieng,1,PG,1570414105,75,-2.57,150.8,301.81,6.3
Buin,0,CL,1570414105,32,-33.73,-70.74,293.15,3.1
Tete,5,MZ,1570414105,61,-16.16,33.59,298.15,3.1
Verkhnevilyuysk,76,RU,1570414106,88,63.45,120.31,274.66,2.35
Saldanha,9,PT,1570414106,50,41.42,-6.55,287.58,0.59
Marawi,93,PH,1570414106,70,8,124.29,302.59,2.24
Saskylakh,90,RU,1570414106,95,71.97,114.09,265.7,2.87
San Cristobal,75,HN,1570414107,91,14.68,-86.92,292.96,2.02
High Level,90,CA,1570414107,53,58.52,-117.13,284.15,3.1
Upington,0,ZA,1570414107,88,-28.46,21.24,292.15,5.7
Raymond,40,CA,1570414107,43,49.47,-112.67,284.26,7.7
Port Elizabeth,90,US,1570414108,68,39.31,-74.98,295.37,2.1
Lithakia,40,GR,1570414108,88,37.72,20.83,292.15,2.529
Male,93,UA,1570414108,71,50.74,33.7,276.51,2.59
Patterson,20,US,1570414108,36,37.47,-121.13,301.15,2.6
Nome,1,US,1570414108,78,30.04,-94.42,301.48,1.5
Huarmey,48,PE,1570414109,93,-10.07,-78.15,288.91,6.44
Padang,40,ID,1570414109,61,-0.92,100.36,299.71,1.119
Talakan,100,RU,1570414109,57,50.29,130.28,283.71,3.55
Santa Lucia,40,IT,1570414109,87,41.98,12.66,291.15,1.5
Oistins,40,BB,1570414110,78,13.07,-59.53,301.15,9.8
Carlyle,1,CA,1570414110,61,49.63,-102.27,282.15,5.7
Codrington,0,AU,1570414110,36,-28.95,153.24,307.15,1
Vao,100,EE,1570414110,85,59.1,26.19,277.28,2.75
Taquara,75,BR,1570414110,88,-29.65,-50.78,291.15,3.1
Uvalde,1,US,1570413888,45,29.21,-99.79,304.15,2.6
Limanowa,0,PL,1570414111,92,49.71,20.42,273.71,1
Esmeraldas,0,BR,1570414111,60,-19.76,-44.31,296.15,3.6
San Ramon,100,NI,1570414111,95,12.92,-85.84,292.11,1.05
Madison,1,US,1570413900,66,43.07,-89.38,286.15,3.1
Kalmunai,100,LK,1570414111,80,7.42,81.82,299.07,0.4
Heihe,40,RU,1570414112,43,50.24,127.51,283.15,4.784
Bambanglipuro,100,ID,1570414112,51,-7.95,110.28,303.12,5.868
Nurota,31,UZ,1570414112,62,40.56,65.69,286.15,5.1
Buala,70,SB,1570414112,76,-8.15,159.59,301.68,5.1
Norman Wells,40,CA,1570414098,55,65.28,-126.83,275.15,2.1
Arraial do Cabo,80,BR,1570414104,89,-22.97,-42.02,294.81,2.42
Chambas,75,CU,1570414113,78,22.19,-78.91,301.15,2.6
Bay Roberts,20,CA,1570414113,86,47.58,-53.28,280.37,3.6
Yuzhno-Kurilsk,99,RU,1570414113,66,44.03,145.86,286.94,7.19
Iwaki,75,JP,1570414113,87,37.05,140.89,295.37,2.1
Dikson,55,RU,1570414114,79,73.51,80.55,268.47,11.68
La Paz,5,MX,1570414114,51,24.15,-110.32,303.15,2.6
Ewa Beach,20,US,1570414114,62,21.32,-158.01,302.15,4.6
Manta,100,RO,1570414114,64,45.1,24.1,280.87,0.83
Ishigaki,20,JP,1570414114,74,24.34,124.16,301.15,4.1
Ahipara,71,NZ,1570414115,83,-35.17,173.16,288.82,5.53
Ixtapa,75,MX,1570414115,66,20.71,-105.21,302.59,3.1
Airai,7,TL,1570414115,42,-8.93,125.41,303.67,2.3
Venado Tuerto,0,AR,1570414115,47,-33.75,-61.97,288.15,6.26
Varkaus,0,FI,1570414115,100,62.32,27.87,274.82,1.71
Hasaki,20,JP,1570414116,73,35.73,140.83,295.93,5.7
Morant Bay,20,JM,1570414116,74,17.88,-76.41,301.15,7.2
Ulcinj,20,ME,1570414116,50,41.93,19.22,287.15,4.1
Lata,100,IN,1570414116,61,30.78,78.62,277.18,2.289
Wilmington,90,US,1570413823,82,39.75,-75.55,295.93,1.5
Quatre Cocos,40,MU,1570414117,83,-20.21,57.76,296.15,7.7
Ancud,75,CL,1570414117,87,-41.87,-73.83,280.15,2.1
Belfast,100,GB,1570414117,87,54.6,-5.93,285.15,7.2
Dingli,75,IN,1570414117,41,28.39,75.51,299.27,4.24
Westport,90,US,1570413867,77,41.14,-73.36,294.15,6.2
Kruisfontein,100,ZA,1570414118,84,-34,24.73,287.6,0.671
Aberdeen,1,US,1570413867,59,46.98,-123.82,289.15,2.1
Iqaluit,75,CA,1570414104,86,63.75,-68.52,276.15,2.1
Prince George,90,CA,1570414025,43,53.92,-122.75,286.15,9.8
